	index	sample	model_class	model_species	model	accuracy	auROC	auPRC	f1_score	fhalf_score	model_type
42	0	Pfenning_PVpos_Ctx_fold3	CNN	Mouse	cnn/singleTask/Pfenning_PVpos_Ctx_fold3/Pfenning_PVpos_Ctx_fold3_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7936171959337592	0.9103490566887757	0.5734781243591892	0.9237393023148524	0.9299779524278922	Pfenning_PVpos_Ctx
43	0	Pfenning_PVpos_Ctx_fold4	CNN	Mouse	cnn/singleTask/Pfenning_PVpos_Ctx_fold4/Pfenning_PVpos_Ctx_fold4_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7996692450491677	0.8939742103316133	0.5760937063651601	0.8839203488757758	0.8996820016518818	Pfenning_PVpos_Ctx
44	0	Pfenning_PVpos_Ctx_fold5	CNN	Mouse	cnn/singleTask/Pfenning_PVpos_Ctx_fold5/Pfenning_PVpos_Ctx_fold5_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7775631022036877	0.8922550197869031	0.617703545478535	0.8971202201752068	0.9004487680468969	Pfenning_PVpos_Ctx
45	0	Pfenning_SSTpos_Cpu_fold1	CNN	Mouse	cnn/singleTask/Pfenning_SSTpos_Cpu_fold1/Pfenning_SSTpos_Cpu_fold1_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7967449163334288	0.9178574427809396	0.6907350177920863	0.9137914337541051	0.9142514051406663	Pfenning_SSTpos_Cpu
46	0	Pfenning_SSTpos_Cpu_fold2	CNN	Mouse	cnn/singleTask/Pfenning_SSTpos_Cpu_fold2/Pfenning_SSTpos_Cpu_fold2_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8141572806512054	0.9222069425714585	0.6508889851900805	0.9203123285888316	0.9250131281370904	Pfenning_SSTpos_Cpu
47	0	Pfenning_SSTpos_Cpu_fold3	CNN	Mouse	cnn/singleTask/Pfenning_SSTpos_Cpu_fold3/Pfenning_SSTpos_Cpu_fold3_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8339371180972419	0.9269951258194491	0.6373963782294306	0.9229816388263831	0.9332210385253912	Pfenning_SSTpos_Cpu
48	0	Pfenning_SSTpos_Cpu_fold4	CNN	Mouse	cnn/singleTask/Pfenning_SSTpos_Cpu_fold4/Pfenning_SSTpos_Cpu_fold4_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8235277893391426	0.9221844323289073	0.6459825179919723	0.9168355672188155	0.9258708154711134	Pfenning_SSTpos_Cpu
49	0	Pfenning_SSTpos_Cpu_fold5	CNN	Mouse	cnn/singleTask/Pfenning_SSTpos_Cpu_fold5/Pfenning_SSTpos_Cpu_fold5_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7948233397495019	0.9177075072089013	0.6728675949389392	0.9136091014701111	0.9147775008606469	Pfenning_SSTpos_Cpu
50	0	Pfenning_SSTpos_Ctx_fold1	CNN	Mouse	cnn/singleTask/Pfenning_SSTpos_Ctx_fold1/Pfenning_SSTpos_Ctx_fold1_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7884245021906588	0.9137107983837394	0.6843978430183049	0.9077580719756094	0.9081953176910612	Pfenning_SSTpos_Ctx
51	0	Pfenning_SSTpos_Ctx_fold2	CNN	Mouse	cnn/singleTask/Pfenning_SSTpos_Ctx_fold2/Pfenning_SSTpos_Ctx_fold2_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7892721866389683	0.915324039157652	0.6386013338986993	0.9235420767071703	0.925401502807847	Pfenning_SSTpos_Ctx
52	0	Pfenning_SSTpos_Ctx_fold3	CNN	Mouse	cnn/singleTask/Pfenning_SSTpos_Ctx_fold3/Pfenning_SSTpos_Ctx_fold3_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8227714883288868	0.9232994634394971	0.6192044349705028	0.9246021731775086	0.9332229967914535	Pfenning_SSTpos_Ctx
53	0	Pfenning_SSTpos_Ctx_fold4	CNN	Mouse	cnn/singleTask/Pfenning_SSTpos_Ctx_fold4/Pfenning_SSTpos_Ctx_fold4_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8058341502127315	0.914531957497777	0.6298238030180774	0.9194099495312711	0.9250949559033832	Pfenning_SSTpos_Ctx
54	0	Pfenning_SSTpos_Ctx_fold5	CNN	Mouse	cnn/singleTask/Pfenning_SSTpos_Ctx_fold5/Pfenning_SSTpos_Ctx_fold5_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7902101987914236	0.9206069541455899	0.6836088718279161	0.9197000338501097	0.9198107565389491	Pfenning_SSTpos_Ctx
