# TOTAL_GENES = 17187
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Esophagus_Gastroesophageal_J...     COVAR   17187    -0.017345    -0.034117     0.013359       0.9029 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17187     -0.01639     -0.03166    0.0079354      0.98055 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17187    -0.016026    -0.031587     0.012928      0.89243 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17187    -0.021762    -0.042178     0.012423      0.96008 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   17187   -0.0011463   -0.0020563    0.0099396      0.54591 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   17187   -0.0036346   -0.0060613    0.0094918      0.64911 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   17187   -0.0011536    -0.002024     0.009461      0.54852 Kidney_Cortex
Kidney_Medulla                      COVAR   17187   -0.0018536   -0.0034227    0.0097202      0.57562 Kidney_Medulla
Liver                               COVAR   17187    0.0057618     0.010365    0.0066134      0.19182 Liver
Lung                                COVAR   17187    -0.022399    -0.043271    0.0096292      0.98999 Lung
Minor_Salivary_Gland                COVAR   17187    -0.033143     -0.06163     0.010021      0.99953 Minor_Salivary_Gland
Muscle_Skeletal                     COVAR   17187    0.0051722    0.0097802    0.0071831      0.23575 Muscle_Skeletal
Nerve_Tibial                        COVAR   17187    -0.018791    -0.037788       0.0106      0.96186 Nerve_Tibial
Ovary                               COVAR   17187     0.010362     0.020992     0.010091      0.15224 Ovary
Pancreas                            COVAR   17187   -0.0056823    -0.009493    0.0087591      0.74174 Pancreas
Pituitary                           COVAR   17187     0.035799     0.066645    0.0093332   6.2854e-05 Pituitary
Prostate                            COVAR   17187    -0.032028    -0.060697     0.012469      0.99489 Prostate
Skin_Not_Sun_Exposed_Suprapu...     COVAR   17187   -0.0099936    -0.019255    0.0080785      0.89196 Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg          COVAR   17187    -0.012187    -0.023627    0.0080951      0.93389 Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ile...     COVAR   17187    -0.016298    -0.029932    0.0099744      0.94886 Small_Intestine_Terminal_Ileum
Spleen                              COVAR   17187     0.010319      0.02043    0.0077349     0.091091 Spleen
Stomach                             COVAR   17187    -0.022245    -0.040368     0.012535      0.96201 Stomach
Testis                              COVAR   17187   -0.0042775   -0.0073778    0.0058701       0.7669 Testis
Thyroid                             COVAR   17187   -0.0050184   -0.0099311     0.010088      0.69056 Thyroid
Uterus                              COVAR   17187    -0.014744    -0.030019     0.011439      0.90128 Uterus
Vagina                              COVAR   17187     -0.03823    -0.073058     0.011499      0.99956 Vagina
Whole_Blood                         COVAR   17187    0.0032851    0.0059218    0.0059176       0.2894 Whole_Blood
